Id,Neighborhood,lat,lon,price
1,CollgCr,42.020115808507,-93.6616014887145,208500
2,Veenker,42.039753403198205,-93.6413560664283,181500
3,CollgCr,42.01871794050853,-93.66120555459369,223500
4,Crawfor,42.0149070114868,-93.58949357333414,140000
5,NoRidge,42.051758479643226,-93.65284928146026,250000
6,Mitchel,41.991001996529405,-93.60537226767559,143000
7,Somerst,42.05169934087897,-93.63978213949817,307000
8,NWAmes,42.04412171225507,-93.63273639711103,200000
9,OldTown,42.03192571985573,-93.61452038213284,129900
10,BrkSide,42.03343576356725,-93.62758147022822,118000
11,Sawyer,42.03071651396439,-93.67038823760662,129500
12,NridgHt,42.057836308132075,-93.65679295013993,345000
13,Sawyer,42.03481256761656,-93.67224591648886,144000
14,CollgCr,42.01968256355634,-93.6658169547766,279500
15,NAmes,42.038820021337024,-93.61757794460677,157000
16,BrkSide,42.0333764932319,-93.62698180478691,132000
17,NAmes,42.04477942435383,-93.61609381822272,149000
18,Sawyer,42.03169476083998,-93.67597405064362,90000
19,SawyerW,42.034071479664945,-93.68655784998045,159000
20,NAmes,42.04076015639377,-93.62454609930387,139000
21,NridgHt,42.06471162499848,-93.66197075799344,325300
22,IDOTRR,42.01966295229283,-93.62243634682811,139400
23,CollgCr,42.019152539656076,-93.66069316740666,230000
24,MeadowV,41.99181788151308,-93.60470126686438,129900
25,Sawyer,42.03418534844734,-93.67845904411706,154000
26,NridgHt,42.062128013245406,-93.65661688247364,256300
27,NAmes,42.04642444661105,-93.62258858967324,134800
28,NridgHt,42.0597971341029,-93.64795109301662,306000
29,NAmes,42.047565787532385,-93.61919966385277,207500
30,BrkSide,42.028724972288565,-93.62838733117903,68500
31,IDOTRR,42.02149882267106,-93.62198564158402,40000
32,Sawyer,42.033704112234645,-93.67585536883507,149350
33,CollgCr,42.017855028121645,-93.66456031135627,179900
34,NAmes,42.03945566769047,-93.62509047313893,165500
35,NridgHt,42.06353242235615,-93.6566370966535,277500
36,NridgHt,42.06453306978276,-93.6512168213129,309000
37,CollgCr,42.018659901644526,-93.6675430358697,145000
38,NAmes,42.04165499561172,-93.61666677795759,153000
39,NAmes,42.039223488240545,-93.6223298600346,109000
40,Edwards,42.02376449545984,-93.65284301683927,82000
41,NAmes,42.045088013306156,-93.6197935927599,160000
42,Timber,42.00049224168399,-93.64662790220855,170000
